concept_id,term,term_type,context
CF-300506,Fisheries sciences,broader,Immediate ANZSRC broader research group
CF-300599,Fisheries sciences not elsewhere classified,search_phrase,Canonical ANZSRC field phrase
CF-300599,Fisheries sciences,broader,Immediate ANZSRC broader research group
CF-300601,Beverage chemistry and beverage sensory science,search_phrase,Canonical ANZSRC field phrase
CF-300601,Food sciences,broader,Immediate ANZSRC broader research group
CF-300602,Food chemistry and food sensory science,search_phrase,Canonical ANZSRC field phrase
CF-300602,Food sciences,broader,Immediate ANZSRC broader research group
CF-300603,Food nutritional balance,search_phrase,Canonical ANZSRC field phrase
CF-300603,Food sciences,broader,Immediate ANZSRC broader research group
CF-300604,"Food packaging, preservation and processing",search_phrase,Canonical ANZSRC field phrase
CF-300604,Food sciences,broader,Immediate ANZSRC broader research group
CF-300605,"Food safety, traceability, certification and authenticity",search_phrase,Canonical ANZSRC field phrase
CF-300605,Food sciences,broader,Immediate ANZSRC broader research group
CF-300606,Food sustainability,search_phrase,Canonical ANZSRC field phrase
CF-300606,Food sciences,broader,Immediate ANZSRC broader research group
CF-300607,Food technology,search_phrase,Canonical ANZSRC field phrase
CF-300607,Food sciences,broader,Immediate ANZSRC broader research group
CF-300699,Food sciences not elsewhere classified,search_phrase,Canonical ANZSRC field phrase
CF-300699,Food sciences,broader,Immediate ANZSRC broader research group
CF-300701,Agroforestry,search_phrase,Canonical ANZSRC field phrase
CF-300701,Forestry sciences,broader,Immediate ANZSRC broader research group
CF-300702,Forest biodiversity,search_phrase,Canonical ANZSRC field phrase
CF-300702,Forestry sciences,broader,Immediate ANZSRC broader research group
CF-300703,Forest ecosystems,search_phrase,Canonical ANZSRC field phrase
CF-300703,Forestry sciences,broader,Immediate ANZSRC broader research group
CF-300704,Forest health and pathology,search_phrase,Canonical ANZSRC field phrase
CF-300704,Forestry sciences,broader,Immediate ANZSRC broader research group
CF-300705,Forestry biomass and bioproducts,search_phrase,Canonical ANZSRC field phrase
CF-300705,Forestry sciences,broader,Immediate ANZSRC broader research group
CF-300706,Forestry fire management,search_phrase,Canonical ANZSRC field phrase
CF-300706,Forestry sciences,broader,Immediate ANZSRC broader research group
CF-300707,Forestry management and environment,search_phrase,Canonical ANZSRC field phrase
CF-300707,Forestry sciences,broader,Immediate ANZSRC broader research group
CF-300708,Forestry product quality assessment,search_phrase,Canonical ANZSRC field phrase
CF-300708,Forestry sciences,broader,Immediate ANZSRC broader research group
CF-300709,Tree improvement (incl. selection and breeding),search_phrase,Canonical ANZSRC field phrase
CF-300709,Forestry sciences,broader,Immediate ANZSRC broader research group
CF-300710,Tree nutrition and physiology,search_phrase,Canonical ANZSRC field phrase
CF-300710,Forestry sciences,broader,Immediate ANZSRC broader research group
CF-300711,Wood fibre processing,search_phrase,Canonical ANZSRC field phrase
CF-300711,Forestry sciences,broader,Immediate ANZSRC broader research group
CF-300712,Wood processing,search_phrase,Canonical ANZSRC field phrase
CF-300712,Forestry sciences,broader,Immediate ANZSRC broader research group
CF-300799,Forestry sciences not elsewhere classified,search_phrase,Canonical ANZSRC field phrase
CF-300799,Forestry sciences,broader,Immediate ANZSRC broader research group
CF-300801,Field organic and low chemical input horticulture,search_phrase,Canonical ANZSRC field phrase
CF-300801,Horticultural production,broader,Immediate ANZSRC broader research group
CF-300802,Horticultural crop growth and development,search_phrase,Canonical ANZSRC field phrase
CF-300802,Horticultural production,broader,Immediate ANZSRC broader research group
CF-300803,Horticultural crop improvement (incl. selection and breeding),search_phrase,Canonical ANZSRC field phrase
CF-300803,Horticultural production,broader,Immediate ANZSRC broader research group
CF-300804,"Horticultural crop protection (incl. pests, diseases and weeds)",search_phrase,Canonical ANZSRC field phrase
CF-300804,Horticultural production,broader,Immediate ANZSRC broader research group
CF-300805,Oenology and viticulture,search_phrase,Canonical ANZSRC field phrase
CF-300805,Horticultural production,broader,Immediate ANZSRC broader research group
CF-300806,Post harvest horticultural technologies (incl. transportation and storage),search_phrase,Canonical ANZSRC field phrase
CF-300806,Horticultural production,broader,Immediate ANZSRC broader research group
CF-300899,Horticultural production not elsewhere classified,search_phrase,Canonical ANZSRC field phrase
CF-300899,Horticultural production,broader,Immediate ANZSRC broader research group
CF-300901,Veterinary anaesthesiology and intensive care,search_phrase,Canonical ANZSRC field phrase
CF-300901,Veterinary sciences,broader,Immediate ANZSRC broader research group
CF-300902,Veterinary anatomy and physiology,search_phrase,Canonical ANZSRC field phrase
CF-300902,Veterinary sciences,broader,Immediate ANZSRC broader research group
CF-300903,Veterinary bacteriology,search_phrase,Canonical ANZSRC field phrase
CF-300903,Veterinary sciences,broader,Immediate ANZSRC broader research group
CF-300904,Veterinary diagnosis and diagnostics,search_phrase,Canonical ANZSRC field phrase
CF-300904,Veterinary sciences,broader,Immediate ANZSRC broader research group
CF-300905,Veterinary epidemiology,search_phrase,Canonical ANZSRC field phrase
CF-300905,Veterinary sciences,broader,Immediate ANZSRC broader research group
CF-300906,Veterinary immunology,search_phrase,Canonical ANZSRC field phrase
CF-300906,Veterinary sciences,broader,Immediate ANZSRC broader research group
CF-300907,Veterinary medicine (excl. urology),search_phrase,Canonical ANZSRC field phrase
CF-300907,Veterinary sciences,broader,Immediate ANZSRC broader research group
CF-300908,Veterinary mycology,search_phrase,Canonical ANZSRC field phrase
CF-300908,Veterinary sciences,broader,Immediate ANZSRC broader research group
CF-300909,Veterinary parasitology,search_phrase,Canonical ANZSRC field phrase
CF-300909,Veterinary sciences,broader,Immediate ANZSRC broader research group
CF-300910,Veterinary pathology,search_phrase,Canonical ANZSRC field phrase
CF-300910,Veterinary sciences,broader,Immediate ANZSRC broader research group
CF-300911,Veterinary pharmacology,search_phrase,Canonical ANZSRC field phrase
CF-300911,Veterinary sciences,broader,Immediate ANZSRC broader research group
CF-300912,Veterinary surgery,search_phrase,Canonical ANZSRC field phrase
CF-300912,Veterinary sciences,broader,Immediate ANZSRC broader research group
CF-300913,Veterinary urology,search_phrase,Canonical ANZSRC field phrase
CF-300913,Veterinary sciences,broader,Immediate ANZSRC broader research group
CF-300914,Veterinary virology,search_phrase,Canonical ANZSRC field phrase
CF-300914,Veterinary sciences,broader,Immediate ANZSRC broader research group
CF-300999,Veterinary sciences not elsewhere classified,search_phrase,Canonical ANZSRC field phrase
CF-300999,Veterinary sciences,broader,Immediate ANZSRC broader research group
CF-309999,"Other agricultural, veterinary and food sciences not elsewhere classified",search_phrase,Canonical ANZSRC field phrase
CF-309999,"Other agricultural, veterinary and food sciences",broader,Immediate ANZSRC broader research group
CF-310101,Analytical biochemistry,search_phrase,Canonical ANZSRC field phrase
CF-310101,Biochemistry and cell biology,broader,Immediate ANZSRC broader research group
CF-310102,"Cell development, proliferation and death",search_phrase,Canonical ANZSRC field phrase
CF-310102,Biochemistry and cell biology,broader,Immediate ANZSRC broader research group
CF-310103,Cell metabolism,search_phrase,Canonical ANZSRC field phrase
CF-310103,Biochemistry and cell biology,broader,Immediate ANZSRC broader research group
CF-310104,Cell neurochemistry,search_phrase,Canonical ANZSRC field phrase
CF-310104,Biochemistry and cell biology,broader,Immediate ANZSRC broader research group
CF-310105,"Cellular interactions (incl. adhesion, matrix, cell wall)",search_phrase,Canonical ANZSRC field phrase
CF-310105,Biochemistry and cell biology,broader,Immediate ANZSRC broader research group
CF-310106,Enzymes,search_phrase,Canonical ANZSRC field phrase
CF-310106,Biochemistry and cell biology,broader,Immediate ANZSRC broader research group
CF-310107,Glycobiology,search_phrase,Canonical ANZSRC field phrase
CF-310107,Biochemistry and cell biology,broader,Immediate ANZSRC broader research group
CF-310108,Protein trafficking,search_phrase,Canonical ANZSRC field phrase
CF-310108,Biochemistry and cell biology,broader,Immediate ANZSRC broader research group
CF-310109,Proteomics and intermolecular interactions (excl. medical proteomics),search_phrase,Canonical ANZSRC field phrase
CF-310109,Biochemistry and cell biology,broader,Immediate ANZSRC broader research group
CF-310110,Receptors and membrane biology,search_phrase,Canonical ANZSRC field phrase
CF-310110,Biochemistry and cell biology,broader,Immediate ANZSRC broader research group
CF-310111,Signal transduction,search_phrase,Canonical ANZSRC field phrase
CF-310111,Biochemistry and cell biology,broader,Immediate ANZSRC broader research group
CF-310112,Structural biology (incl. macromolecular modelling),search_phrase,Canonical ANZSRC field phrase
CF-310112,Biochemistry and cell biology,broader,Immediate ANZSRC broader research group
CF-310113,Synthetic biology,search_phrase,Canonical ANZSRC field phrase
CF-310113,Biochemistry and cell biology,broader,Immediate ANZSRC broader research group
CF-310114,Systems biology,search_phrase,Canonical ANZSRC field phrase
CF-310114,Biochemistry and cell biology,broader,Immediate ANZSRC broader research group
CF-310199,Biochemistry and cell biology not elsewhere classified,search_phrase,Canonical ANZSRC field phrase
CF-310199,Biochemistry and cell biology,broader,Immediate ANZSRC broader research group
CF-310201,Bioinformatic methods development,search_phrase,Canonical ANZSRC field phrase
CF-310201,Bioinformatics and computational biology,broader,Immediate ANZSRC broader research group
CF-310202,Biological network analysis,search_phrase,Canonical ANZSRC field phrase
CF-310202,Bioinformatics and computational biology,broader,Immediate ANZSRC broader research group
CF-310203,Computational ecology and phylogenetics,search_phrase,Canonical ANZSRC field phrase
CF-310203,Bioinformatics and computational biology,broader,Immediate ANZSRC broader research group
CF-310204,Genomics and transcriptomics,search_phrase,Canonical ANZSRC field phrase
CF-310204,Bioinformatics and computational biology,broader,Immediate ANZSRC broader research group
CF-310205,Proteomics and metabolomics,search_phrase,Canonical ANZSRC field phrase
CF-310205,Bioinformatics and computational biology,broader,Immediate ANZSRC broader research group
CF-310206,Sequence analysis,search_phrase,Canonical ANZSRC field phrase
CF-310206,Bioinformatics and computational biology,broader,Immediate ANZSRC broader research group
CF-310207,Statistical and quantitative genetics,search_phrase,Canonical ANZSRC field phrase
CF-310207,Bioinformatics and computational biology,broader,Immediate ANZSRC broader research group
CF-310208,Translational and applied bioinformatics,search_phrase,Canonical ANZSRC field phrase
CF-310208,Bioinformatics and computational biology,broader,Immediate ANZSRC broader research group
CF-310299,Bioinformatics and computational biology not elsewhere classified,search_phrase,Canonical ANZSRC field phrase
CF-310299,Bioinformatics and computational biology,broader,Immediate ANZSRC broader research group
CF-310301,Behavioural ecology,search_phrase,Canonical ANZSRC field phrase
CF-310301,Ecology,broader,Immediate ANZSRC broader research group
CF-310302,Community ecology (excl. invasive species ecology),search_phrase,Canonical ANZSRC field phrase
CF-310302,Ecology,broader,Immediate ANZSRC broader research group
CF-310303,Ecological physiology,search_phrase,Canonical ANZSRC field phrase
CF-310303,Ecology,broader,Immediate ANZSRC broader research group
CF-310304,Freshwater ecology,search_phrase,Canonical ANZSRC field phrase
CF-310304,Ecology,broader,Immediate ANZSRC broader research group
CF-310305,Marine and estuarine ecology (incl. marine ichthyology),search_phrase,Canonical ANZSRC field phrase
CF-310305,Ecology,broader,Immediate ANZSRC broader research group
CF-310306,Palaeoecology,search_phrase,Canonical ANZSRC field phrase
CF-310306,Ecology,broader,Immediate ANZSRC broader research group
CF-310307,Population ecology,search_phrase,Canonical ANZSRC field phrase
CF-310307,Ecology,broader,Immediate ANZSRC broader research group
CF-310308,Terrestrial ecology,search_phrase,Canonical ANZSRC field phrase
CF-310308,Ecology,broader,Immediate ANZSRC broader research group
CF-310399,Ecology not elsewhere classified,search_phrase,Canonical ANZSRC field phrase
CF-310399,Ecology,broader,Immediate ANZSRC broader research group
CF-310401,Animal systematics and taxonomy,search_phrase,Canonical ANZSRC field phrase
CF-310401,Evolutionary biology,broader,Immediate ANZSRC broader research group
CF-310402,Biogeography and phylogeography,search_phrase,Canonical ANZSRC field phrase
CF-310402,Evolutionary biology,broader,Immediate ANZSRC broader research group
CF-310403,Biological adaptation,search_phrase,Canonical ANZSRC field phrase
CF-310403,Evolutionary biology,broader,Immediate ANZSRC broader research group
CF-310404,Evolution of developmental systems,search_phrase,Canonical ANZSRC field phrase
CF-310404,Evolutionary biology,broader,Immediate ANZSRC broader research group
CF-310405,Evolutionary ecology,search_phrase,Canonical ANZSRC field phrase
CF-310405,Evolutionary biology,broader,Immediate ANZSRC broader research group
CF-310406,Evolutionary impacts of climate change,search_phrase,Canonical ANZSRC field phrase
CF-310406,Evolutionary biology,broader,Immediate ANZSRC broader research group
CF-310407,Host-parasite interactions,search_phrase,Canonical ANZSRC field phrase
CF-310407,Evolutionary biology,broader,Immediate ANZSRC broader research group
CF-310408,Life histories,search_phrase,Canonical ANZSRC field phrase
CF-310408,Evolutionary biology,broader,Immediate ANZSRC broader research group
CF-310409,Microbial taxonomy,search_phrase,Canonical ANZSRC field phrase
CF-310409,Evolutionary biology,broader,Immediate ANZSRC broader research group
CF-310410,Phylogeny and comparative analysis,search_phrase,Canonical ANZSRC field phrase
CF-310410,Evolutionary biology,broader,Immediate ANZSRC broader research group
CF-310411,Plant and fungus systematics and taxonomy,search_phrase,Canonical ANZSRC field phrase
CF-310411,Evolutionary biology,broader,Immediate ANZSRC broader research group
CF-310412,Speciation and extinction,search_phrase,Canonical ANZSRC field phrase
CF-310412,Evolutionary biology,broader,Immediate ANZSRC broader research group
CF-310499,Evolutionary biology not elsewhere classified,search_phrase,Canonical ANZSRC field phrase
CF-310499,Evolutionary biology,broader,Immediate ANZSRC broader research group
CF-310501,Anthropological genetics,search_phrase,Canonical ANZSRC field phrase
CF-310501,Genetics,broader,Immediate ANZSRC broader research group
CF-310502,Cell and nuclear division,search_phrase,Canonical ANZSRC field phrase
CF-310502,Genetics,broader,Immediate ANZSRC broader research group
CF-310503,Developmental genetics (incl. sex determination),search_phrase,Canonical ANZSRC field phrase
CF-310503,Genetics,broader,Immediate ANZSRC broader research group
CF-310504,Epigenetics (incl. genome methylation and epigenomics),search_phrase,Canonical ANZSRC field phrase
CF-310504,Genetics,broader,Immediate ANZSRC broader research group
CF-310505,Gene expression (incl. microarray and other genome-wide approaches),search_phrase,Canonical ANZSRC field phrase
CF-310505,Genetics,broader,Immediate ANZSRC broader research group
CF-310506,Gene mapping,search_phrase,Canonical ANZSRC field phrase
CF-310506,Genetics,broader,Immediate ANZSRC broader research group
CF-310507,Genetic immunology,search_phrase,Canonical ANZSRC field phrase
CF-310507,Genetics,broader,Immediate ANZSRC broader research group
CF-310508,Genome structure and regulation,search_phrase,Canonical ANZSRC field phrase
CF-310508,Genetics,broader,Immediate ANZSRC broader research group
CF-310509,Genomics,search_phrase,Canonical ANZSRC field phrase
CF-310509,Genetics,broader,Immediate ANZSRC broader research group
CF-310510,Molecular evolution,search_phrase,Canonical ANZSRC field phrase
CF-310510,Genetics,broader,Immediate ANZSRC broader research group
CF-310511,Neurogenetics,search_phrase,Canonical ANZSRC field phrase
CF-310511,Genetics,broader,Immediate ANZSRC broader research group
CF-310599,Genetics not elsewhere classified,search_phrase,Canonical ANZSRC field phrase
CF-310599,Genetics,broader,Immediate ANZSRC broader research group
CF-310601,Biocatalysis and enzyme technology,search_phrase,Canonical ANZSRC field phrase
CF-310601,Industrial biotechnology,broader,Immediate ANZSRC broader research group
CF-310602,"Bioprocessing, bioproduction and bioproducts",search_phrase,Canonical ANZSRC field phrase
CF-310602,Industrial biotechnology,broader,Immediate ANZSRC broader research group
CF-310603,Fermentation,search_phrase,Canonical ANZSRC field phrase
CF-310603,Industrial biotechnology,broader,Immediate ANZSRC broader research group
CF-310604,Industrial biotechnology diagnostics (incl. biosensors),search_phrase,Canonical ANZSRC field phrase
CF-310604,Industrial biotechnology,broader,Immediate ANZSRC broader research group
CF-310605,Industrial microbiology (incl. biofeedstocks),search_phrase,Canonical ANZSRC field phrase
CF-310605,Industrial biotechnology,broader,Immediate ANZSRC broader research group
CF-310606,Industrial molecular engineering of nucleic acids and proteins,search_phrase,Canonical ANZSRC field phrase
CF-310606,Industrial biotechnology,broader,Immediate ANZSRC broader research group
CF-310607,Nanobiotechnology,search_phrase,Canonical ANZSRC field phrase
CF-310607,Industrial biotechnology,broader,Immediate ANZSRC broader research group
CF-310699,Industrial biotechnology not elsewhere classified,search_phrase,Canonical ANZSRC field phrase
CF-310699,Industrial biotechnology,broader,Immediate ANZSRC broader research group
CF-310701,Bacteriology,search_phrase,Canonical ANZSRC field phrase
CF-310701,Microbiology,broader,Immediate ANZSRC broader research group
CF-310702,Infectious agents,search_phrase,Canonical ANZSRC field phrase
CF-310702,Microbiology,broader,Immediate ANZSRC broader research group
CF-310703,Microbial ecology,search_phrase,Canonical ANZSRC field phrase
CF-310703,Microbiology,broader,Immediate ANZSRC broader research group
CF-310704,Microbial genetics,search_phrase,Canonical ANZSRC field phrase
CF-310704,Microbiology,broader,Immediate ANZSRC broader research group
CF-310705,Mycology,search_phrase,Canonical ANZSRC field phrase
CF-310705,Microbiology,broader,Immediate ANZSRC broader research group
CF-310706,Virology,search_phrase,Canonical ANZSRC field phrase
CF-310706,Microbiology,broader,Immediate ANZSRC broader research group
CF-310799,Microbiology not elsewhere classified,search_phrase,Canonical ANZSRC field phrase
CF-310799,Microbiology,broader,Immediate ANZSRC broader research group
CF-310801,Phycology (incl. marine grasses),search_phrase,Canonical ANZSRC field phrase
CF-310801,Plant biology,broader,Immediate ANZSRC broader research group
CF-310802,Plant biochemistry,search_phrase,Canonical ANZSRC field phrase
CF-310802,Plant biology,broader,Immediate ANZSRC broader research group
CF-310803,Plant cell and molecular biology,search_phrase,Canonical ANZSRC field phrase
CF-310803,Plant biology,broader,Immediate ANZSRC broader research group
CF-310804,Plant developmental and reproductive biology,search_phrase,Canonical ANZSRC field phrase
CF-310804,Plant biology,broader,Immediate ANZSRC broader research group
CF-310805,Plant pathology,search_phrase,Canonical ANZSRC field phrase
CF-310805,Plant biology,broader,Immediate ANZSRC broader research group
CF-310806,Plant physiology,search_phrase,Canonical ANZSRC field phrase
CF-310806,Plant biology,broader,Immediate ANZSRC broader research group
CF-310899,Plant biology not elsewhere classified,search_phrase,Canonical ANZSRC field phrase
CF-310899,Plant biology,broader,Immediate ANZSRC broader research group
CF-310901,Animal behaviour,search_phrase,Canonical ANZSRC field phrase
CF-310901,Zoology,broader,Immediate ANZSRC broader research group
CF-310902,Animal cell and molecular biology,search_phrase,Canonical ANZSRC field phrase
CF-310902,Zoology,broader,Immediate ANZSRC broader research group
CF-310903,Animal developmental and reproductive biology,search_phrase,Canonical ANZSRC field phrase
CF-310903,Zoology,broader,Immediate ANZSRC broader research group
CF-310904,Animal diet and nutrition,search_phrase,Canonical ANZSRC field phrase
CF-310904,Zoology,broader,Immediate ANZSRC broader research group
CF-310905,Animal immunology,search_phrase,Canonical ANZSRC field phrase
CF-310905,Zoology,broader,Immediate ANZSRC broader research group
CF-310906,Animal neurobiology,search_phrase,Canonical ANZSRC field phrase
CF-310906,Zoology,broader,Immediate ANZSRC broader research group
CF-310907,Animal physiological ecology,search_phrase,Canonical ANZSRC field phrase
CF-310907,Zoology,broader,Immediate ANZSRC broader research group
CF-310908,Animal physiology - biophysics,search_phrase,Canonical ANZSRC field phrase
CF-310908,Zoology,broader,Immediate ANZSRC broader research group
CF-310909,Animal physiology - cell,search_phrase,Canonical ANZSRC field phrase
CF-310909,Zoology,broader,Immediate ANZSRC broader research group
CF-310910,Animal physiology - systems,search_phrase,Canonical ANZSRC field phrase
CF-310910,Zoology,broader,Immediate ANZSRC broader research group
CF-310911,Animal structure and function,search_phrase,Canonical ANZSRC field phrase
CF-310911,Zoology,broader,Immediate ANZSRC broader research group
CF-310912,Comparative physiology,search_phrase,Canonical ANZSRC field phrase
CF-310912,Zoology,broader,Immediate ANZSRC broader research group
CF-310913,Invertebrate biology,search_phrase,Canonical ANZSRC field phrase
CF-310913,Zoology,broader,Immediate ANZSRC broader research group
CF-310914,Vertebrate biology,search_phrase,Canonical ANZSRC field phrase
CF-310914,Zoology,broader,Immediate ANZSRC broader research group
CF-310999,Zoology not elsewhere classified,search_phrase,Canonical ANZSRC field phrase
CF-310999,Zoology,broader,Immediate ANZSRC broader research group
CF-319901,Forensic biology,search_phrase,Canonical ANZSRC field phrase
CF-319901,Other biological sciences,broader,Immediate ANZSRC broader research group
CF-319902,Global change biology,search_phrase,Canonical ANZSRC field phrase
CF-319902,Other biological sciences,broader,Immediate ANZSRC broader research group
CF-319999,Other biological sciences not elsewhere classified,search_phrase,Canonical ANZSRC field phrase
CF-319999,Other biological sciences,broader,Immediate ANZSRC broader research group
CF-320101,Cardiology (incl. cardiovascular diseases),search_phrase,Canonical ANZSRC field phrase
CF-320101,Cardiovascular medicine and haematology,broader,Immediate ANZSRC broader research group
CF-320102,Haematology,search_phrase,Canonical ANZSRC field phrase
